device_id,timestamp,room_temp_c,setpoint_c,ambient_temp_c,compressor_state,power_watt,mode
DVC-103,2026-06-06 03:15:00,25.74,26.0,25.74,0,49.0,OFF
DVC-102,2026-06-14 20:15:00,23.96,24.0,31.83,1,1420.6,COOL
DVC-101,2026-06-14 16:45:00,24.56,24.0,37.48,0,42.6,FAN
DVC-103,2026-06-01 03:30:00,26.04,26.0,25.88,0,52.1,OFF
DVC-102,2026-06-13 19:00:00,24.44,24.0,33.47,0,17.5,FAN
DVC-102,2026-06-02 18:45:00,24.71,24.0,34.68,0,55.1,FAN
DVC-101,2026-06-01 13:30:00,24.73,24.0,36.26,0,41.0,FAN
DVC-105,2026-06-09 20:45:00,24.12,24.0,31.41,1,1360.9,COOL
DVC-102,2026-06-05 22:00:00,25.0,26.0,28.87,0,54.9,OFF
DVC-105,2026-06-12 03:00:00,25.58,26.0,24.74,0,37.4,OFF
DVC-101,2026-06-07 10:15:00,24.7,24.0,33.07,1,1502.0,COOL
DVC-102,2026-06-13 18:15:00,24.76,24.0,36.9,0,48.8,FAN
DVC-102,2026-06-03 01:45:00,26.24,26.0,26.29,0,39.0,OFF
DVC-101,2026-06-09 23:15:00,26.08,26.0,26.8,0,47.0,OFF
DVC-102,2026-06-11 13:45:00,24.35,24.0,37.11,1,1339.1,COOL
DVC-101,2026-06-07 12:45:00,24.07,24.0,36.81,1,1120.3,COOL
DVC-102,2026-06-11 03:00:00,25.72,26.0,24.59,0,43.8,OFF
DVC-102,2026-06-10 14:00:00,24.42,24.0,36.48,1,1450.0,COOL
DVC-104,2026-06-09 19:30:00,23.5,24.0,33.66,1,1458.6,COOL
DVC-102,2026-06-13 20:30:00,24.58,24.0,31.03,0,43.1,FAN
DVC-102,2026-06-10 18:30:00,24.06,24.0,34.11,1,1490.5,COOL
DVC-101,2026-06-09 01:30:00,25.74,26.0,25.46,0,41.7,OFF
DVC-104,2026-06-13 05:00:00,23.5,26.0,26.31,0,53.8,OFF
DVC-101,2026-06-03 13:45:00,24.28,24.0,37.78,1,1241.9,COOL
DVC-105,2026-06-05 05:45:00,25.58,26.0,26.53,0,31.3,OFF
DVC-101,2026-06-12 19:00:00,24.71,24.0,33.59,0,69.2,FAN
DVC-101,2026-06-12 10:15:00,24.63,24.0,33.23,1,1327.6,COOL
DVC-102,2026-06-07 09:45:00,24.87,24.0,30.28,1,1396.0,COOL
DVC-102,2026-06-12 14:15:00,24.26,24.0,36.56,1,1295.1,COOL
DVC-105,2026-06-13 14:30:00,24.45,24.0,37.18,0,64.6,FAN
DVC-104,2026-06-03 22:30:00,25.76,26.0,29.18,0,50.1,OFF
DVC-105,2026-06-12 18:00:00,24.19,24.0,35.48,1,1380.6,COOL
DVC-101,2026-06-05 18:15:00,24.29,24.0,34.45,1,1480.2,COOL
DVC-102,2026-06-04 11:30:00,24.33,24.0,34.2,0,48.5,FAN
DVC-101,2026-06-05 09:15:00,25.62,24.0,30.89,1,1335.4,COOL
DVC-102,2026-06-10 13:00:00,24.64,24.0,35.19,0,34.3,FAN
DVC-105,2026-06-01 08:45:00,26.12,26.0,30.8,1,1225.4,COOL
DVC-102,2026-06-10 09:15:00,25.99,24.0,31.5,1,1376.5,COOL
DVC-101,2026-06-06 18:15:00,24.34,24.0,36.18,1,1285.8,COOL
DVC-102,2026-06-02 23:15:00,26.32,26.0,27.69,0,50.8,OFF
DVC-105,2026-06-01 15:30:00,24.04,24.0,37.26,1,1631.2,COOL
DVC-105,2026-06-03 05:15:00,25.2,26.0,25.39,0,40.9,OFF
DVC-101,2026-06-11 04:00:00,25.24,26.0,25.87,0,47.8,OFF
